dt_referencia,seller_id,dt_ultima_venda,receita_total,qtde_venda,qtde_itens_total,qtde_itens_distintos_total,frete_total,receita_por_venda,qtde_itens_por_venda,frete_por_venda,frete_por_item,proporcao_ativacao,qtde_venda_futura,flag_churn
2017-01-01,5f0057b677eb963672bf05dfa3f16c34,2016-10-10 04:49:29,157.0,2,2,2,26.04,78.0,1,13.0,13.02,0.17,3,0
2017-01-01,620c87c171fb2a6dd6e8bb4dec959fc6,2016-10-08 23:46:06,4890.0,23,24,11,422.15,213.0,1,18.0,17.589583333333334,0.17,114,0
2017-01-01,624f4ece8da4aafb77699233d480f8ef,2016-10-04 10:16:04,189.0,1,1,1,48.45,189.0,1,48.0,48.45,0.17,2,0
2017-01-01,62c50c1af4dfdc4149d25c5222043d39,2016-10-08 14:48:08,280.0,2,2,2,21.560000000000002,140.0,1,11.0,10.780000000000001,0.17,9,0
2017-01-01,63b9ae557efed31d1f7687917d248a8d,2016-10-05 11:44:41,10.0,1,1,1,14.52,10.0,1,15.0,14.52,0.17,4,0
2017-01-01,6cf476a4ca74498db55cbccdaa9dcfb6,2016-10-06 08:28:19,500.0,1,1,1,94.47,500.0,1,94.0,94.47,0.17,3,0
2017-01-01,7008613ea464bad5cb9b83456e1e6a8f,2016-10-09 22:36:49,40.0,1,1,1,15.7,40.0,1,16.0,15.7,0.17,23,0
2017-01-01,700f03c207639c22d933381ff60b35c2,2016-10-07 21:30:12,380.0,1,1,1,35.7,380.0,1,36.0,35.7,0.17,0,1
2017-01-01,710e3548e02bc1d2831dfc4f1b5b14d4,2016-10-09 13:57:42,350.0,2,2,2,44.519999999999996,175.0,1,22.0,22.259999999999998,0.17,18,0
2017-01-01,76d5af76d0271110f9af36c92573f765,2016-10-07 10:11:42,1447.0,3,3,3,273.62,482.0,1,91.0,91.20666666666666,0.17,20,0
2017-01-01,77530e9772f57a62c906e1c21538ab82,2016-10-04 11:03:14,148.0,1,1,1,30.11,148.0,1,30.0,30.11,0.17,24,0
2017-01-01,7d456afc660226829370f3173d14520c,2016-10-06 08:58:04,226.0,1,2,2,24.790000000000003,226.0,2,25.0,12.395000000000001,0.17,0,1
2017-01-01,7dc8c42cc750eeafea6c85712ffee9bf,2016-10-07 19:02:48,249.0,1,1,1,16.95,249.0,1,17.0,16.95,0.17,4,0
2017-01-01,7e93a43ef30c4f03f38b393420bc753a,2016-10-08 01:28:14,1399.0,1,1,1,24.55,1399.0,1,25.0,24.55,0.17,42,0
2017-01-01,80e6699fe29150b372a0c8a1ebf7dcc8,2016-10-10 16:00:30,40.0,1,1,1,24.84,40.0,1,25.0,24.84,0.17,24,0
2017-01-01,817f85dbb65aa3e70831d90fe75cdf89,2016-10-07 02:41:42,774.0,6,6,2,118.01999999999998,129.0,1,20.0,19.669999999999998,0.17,5,0
2017-01-01,822b63912576852aea9a8436d72317b7,2016-10-08 02:18:43,2850.0,3,3,2,84.31,950.0,1,28.0,28.103333333333335,0.17,5,0
2017-01-01,827f8f69dfa529c561901c4f2e0f332f,2016-10-07 14:15:50,28.0,1,1,1,14.52,28.0,1,15.0,14.52,0.17,12,0
2017-01-01,82bd0703a4aefd6b599e5bfdaed378fb,2016-10-09 22:38:35,290.0,4,6,4,96.02000000000001,72.0,1,24.0,16.003333333333334,0.17,7,0
2017-01-01,85d9eb9ddc5d00ca9336a2219c97bb13,2016-10-06 09:07:52,21.0,1,1,1,14.52,21.0,1,15.0,14.52,0.17,61,0
2017-01-01,86bb7c4b535e49a541baf3266b1c95b1,2016-10-10 16:00:33,1290.0,3,3,3,70.26,430.0,1,23.0,23.42,0.17,0,1
2017-01-01,87f3e35268860433e13d577825aada95,2016-10-05 20:20:59,20.0,1,1,1,14.52,20.0,1,15.0,14.52,0.17,1,0
2017-01-01,897060da8b9a21f655304d50fd935913,2016-10-04 21:54:52,71.0,1,1,1,11.69,71.0,1,12.0,11.69,0.17,11,0
2017-01-01,89bc797e2e29667aa035d4368f9b7f92,2016-10-10 12:54:46,149.0,4,5,4,65.47999999999999,37.0,1,16.0,13.095999999999998,0.17,12,0
2017-01-01,8a32e327fe2c1b3511609d81aaf9f042,2016-10-07 22:51:32,30.0,1,1,1,10.96,30.0,1,11.0,10.96,0.17,36,0
2017-01-01,8b11118053756a9a2932f447e11fc1b5,2016-10-06 22:34:03,80.0,1,1,1,11.17,80.0,1,11.0,11.17,0.17,0,1
2017-01-01,8c16d1f32a54d92897cc437244442e1b,2016-10-08 20:28:48,113.0,3,3,2,46.82,38.0,1,16.0,15.606666666666667,0.17,4,0
2017-01-01,8fdca8e349553f99bc738833a62c8802,2016-10-06 12:51:54,108.0,1,1,1,11.8,108.0,1,12.0,11.8,0.17,3,0
2017-01-01,939f6e231201f26803cb5c3a3d2940b3,2016-10-06 20:15:20,131.0,3,4,3,95.02000000000001,44.0,1,32.0,23.755000000000003,0.17,0,1
2017-01-01,989becdce12ebc39863c2bceab6f3ca1,2016-10-07 22:35:59,138.0,1,1,1,22.44,138.0,1,22.0,22.44,0.17,0,1
2017-01-01,99eaacc9e6046db1c82b163c5f84869f,2016-10-04 10:41:17,199.0,1,1,1,15.98,199.0,1,16.0,15.98,0.17,17,0
2017-01-01,9c3c24eca51c52b91c1de727d2a2ae06,2016-10-10 15:23:51,50.0,1,1,1,11.74,50.0,1,12.0,11.74,0.17,1,0
2017-01-01,9df5750209b83567ec144eb299d7d634,2016-10-07 08:28:42,590.0,1,1,1,21.56,590.0,1,22.0,21.56,0.17,0,1
2017-01-01,a36b125ac6d5fdbc7f50de85c9157bdc,2016-10-10 09:23:48,50.0,1,1,1,11.03,50.0,1,11.0,11.03,0.17,3,0
2017-01-01,a3a38f4affed601eb87a97788c949667,2016-10-06 12:21:47,290.0,2,2,2,40.44,145.0,1,20.0,20.22,0.17,66,0
2017-01-01,a7f13822ceb966b076af67121f87b063,2016-10-10 15:01:27,611.0,5,5,3,193.44,122.0,1,39.0,38.688,0.17,43,0
2017-01-01,aaed1309374718fdd995ee4c58c9dfcd,2016-10-09 11:43:43,63.0,1,1,1,17.35,63.0,1,17.0,17.35,0.17,20,0
2017-01-01,ae9690c6e8fee182c28c9ff8e11ca52c,2016-10-09 23:25:13,47.0,1,1,1,12.41,47.0,1,12.0,12.41,0.17,0,1
2017-01-01,afa6714acee029b2dfdf357e5579cc03,2016-10-08 15:42:14,120.0,1,1,1,15.01,120.0,1,15.0,15.01,0.17,1,0
2017-01-01,b14db04aa7881970e83ffa9426897925,2016-10-08 11:33:25,196.0,3,4,1,91.03999999999999,65.0,1,30.0,22.759999999999998,0.17,17,0
2017-01-01,b17b679f4f5ce2e03ce6968c62648246,2016-10-09 22:31:44,300.0,6,6,4,104.70999999999998,50.0,1,17.0,17.451666666666664,0.17,18,0
2017-01-01,b1fecf4da1fa2689bccffa0121953643,2016-10-07 14:40:45,312.0,2,2,2,35.04,156.0,1,18.0,17.52,0.17,10,0
2017-01-01,b2ba3715d723d245138f291a6fe42594,2016-10-04 16:41:59,130.0,1,2,1,33.4,130.0,2,33.0,16.7,0.17,37,0
2017-01-01,b335c59ab742f751a85db9c411a86739,2016-10-10 10:22:55,134.0,2,2,2,42.16,67.0,1,21.0,21.08,0.17,2,0
2017-01-01,b499c00f28f4b7069ff6550af8c1348a,2016-10-03 22:31:31,30.0,1,1,1,10.96,30.0,1,11.0,10.96,0.17,10,0
2017-01-01,b56906f7fd1696e043f1bcce164c487b,2016-10-09 22:38:37,176.0,2,3,2,78.41,88.0,1,39.0,26.136666666666667,0.17,2,0
2017-01-01,b7ba853e9551f4558440881fd3e5c815,2016-10-06 16:17:56,137.0,1,1,1,25.7,137.0,1,26.0,25.7,0.17,0,1
2017-01-01,bac44fa8e13424950488659b5f765c41,2016-10-04 22:43:33,20.0,1,1,1,14.52,20.0,1,15.0,14.52,0.17,0,1
2017-01-01,bd4ff04377f974574f7f0bf9d6ce7dde,2016-10-09 22:42:35,130.0,3,3,2,38.400000000000006,43.0,1,13.0,12.800000000000002,0.17,1,0
2017-01-01,c12d7463a579237ffb9248bd7cff378b,2016-10-06 13:16:56,26.0,1,1,1,8.72,26.0,1,9.0,8.72,0.17,0,1
2017-01-01,c43d924a0f1688ee9fae0efcd6f539d4,2016-10-09 23:50:37,30.0,1,1,1,15.11,30.0,1,15.0,15.11,0.17,0,1
2017-01-01,c7dcd301ecfe5ab7f778ac172cf74be7,2016-10-04 23:26:51,408.0,3,3,3,50.400000000000006,136.0,1,17.0,16.8,0.17,0,1
2017-01-01,c9a06ece156bb057372c68718ec8909b,2016-10-09 22:44:21,429.0,2,2,2,53.78,215.0,1,27.0,26.89,0.17,11,0
2017-01-01,cab85505710c7cb9b720bceb52b01cee,2016-10-10 07:03:07,105.0,2,2,2,31.900000000000002,52.0,1,16.0,15.950000000000001,0.17,10,0
2017-01-01,cac4c8e7b1ca6252d8f20b2fc1a2e4af,2016-10-08 17:43:26,400.0,1,1,1,20.09,400.0,1,20.0,20.09,0.17,0,1
2017-01-01,cca3071e3e9bb7d12640c9fbe2301306,2016-10-08 14:31:26,955.0,8,13,12,201.17,119.0,1,25.0,15.474615384615383,0.17,166,0
2017-01-01,ce27a3cc3c8cc1ea79d11e561e9bebb6,2016-10-10 16:55:10,131.0,4,4,4,53.59,33.0,1,13.0,13.3975,0.17,8,0
2017-01-01,d03698c2efd04a549382afa6623e27fb,2016-10-07 22:46:51,162.0,1,1,1,15.3,162.0,1,15.0,15.3,0.17,2,0
2017-01-01,d101c6da914ae3d53f7bee42283f2fe2,2016-10-10 15:49:59,447.0,4,7,2,116.29,112.0,1,29.0,16.612857142857145,0.17,0,1
2017-01-01,d12c926d74ceff0a90a21184466ce161,2016-10-06 23:21:10,19.0,1,1,1,14.52,19.0,1,15.0,14.52,0.17,9,0
2017-01-01,d4d99b60c4c94cd35acd502cec65dc8d,2016-10-09 12:13:58,73.0,1,1,1,14.39,73.0,1,14.0,14.39,0.17,0,1
2017-01-01,d4f91e8be86b38da2ee35bc489645a9d,2016-10-08 09:50:08,50.0,1,1,1,11.17,50.0,1,11.0,11.17,0.17,0,1
2017-01-01,d50d79cb34e38265a8649c383dcffd48,2016-10-08 15:02:10,170.0,1,1,1,34.39,170.0,1,34.0,34.39,0.17,14,0
2017-01-01,dc8798cbf453b7e0f98745e396cc5616,2016-10-05 21:10:56,80.0,2,2,2,25.69,40.0,1,13.0,12.845,0.17,4,0
2017-01-01,dd2bdf855a9172734fbc3744021ae9b9,2016-10-10 08:36:05,340.0,2,2,2,37.63,170.0,1,19.0,18.815,0.17,29,0
2017-01-01,de66a66f2dd06bb9ec37aa96987466a3,2016-10-10 11:08:53,46.0,1,1,1,11.17,46.0,1,11.0,11.17,0.17,6,0
2017-01-01,df560393f3a51e74553ab94004ba5c87,2016-10-04 14:13:22,94.0,1,1,1,17.61,94.0,1,18.0,17.61,0.17,5,0
2017-01-01,e24fc9fcd865784fb25705606fe3dfe7,2016-10-08 10:07:25,210.0,1,1,1,36.09,210.0,1,36.0,36.09,0.17,19,0
2017-01-01,e5a38146df062edaf55c38afa99e42dc,2016-10-08 13:54:03,70.0,1,1,1,12.09,70.0,1,12.0,12.09,0.17,18,0
2017-01-01,e8f6dc8e6a1dcde89d20e3995c8d90b3,2016-10-09 22:36:44,342.0,5,5,5,67.54,68.0,1,14.0,13.508000000000001,0.17,7,0
2017-01-01,ecccfa2bb93b34a3bf033cc5d1dcdc69,2016-10-10 11:39:06,1122.0,12,16,6,212.47000000000003,93.0,1,18.0,13.279375000000002,0.33,0,1
2017-01-01,ed49da7cadefc454d6a67de249eab240,2016-10-08 16:02:07,22.0,1,1,1,8.72,22.0,1,9.0,8.72,0.17,0,1
2017-01-01,ed859002ad59dbf8cf3602696a6c3000,2016-10-05 17:09:07,1345.0,4,8,3,155.64999999999998,336.0,2,39.0,19.456249999999997,0.17,2,0
2017-01-01,f09b760d23495ac9a7e00d29b769007c,2016-10-03 16:56:50,22.0,1,1,1,17.19,22.0,1,17.0,17.19,0.17,0,1
2017-01-01,f41ce2e25237f9092cd8e6e7516c7a2f,2016-10-07 14:42:07,58.0,1,1,1,14.6,58.0,1,15.0,14.6,0.17,2,0
2017-01-01,f4aba7c0bca51484c30ab7bdc34bcdd1,2016-10-10 14:02:01,40.0,1,1,1,29.32,40.0,1,29.0,29.32,0.17,50,0
2017-01-01,f5b84683a9bf9e1df748cf40f601b39c,2016-10-08 22:11:57,84.0,1,1,1,9.07,84.0,1,9.0,9.07,0.17,0,1
2017-01-01,f5f2ab9bdb6b30c14c61be68c5ed37da,2016-10-06 19:33:34,144.0,2,2,2,40.370000000000005,72.0,1,20.0,20.185000000000002,0.17,0,1
2017-01-01,f67efa3f0b6761102a7f8c6b7b571f5d,2016-10-06 16:43:26,290.0,2,2,2,39.64,145.0,1,20.0,19.82,0.17,9,0
2017-01-01,f7496d659ca9fdaf323c0aae84176632,2016-10-08 10:55:44,120.0,1,1,1,29.4,120.0,1,29.0,29.4,0.17,3,0
2017-01-01,fa1a9dec3a9940c072684a46728bf1fc,2016-10-10 10:20:13,310.0,3,3,3,50.480000000000004,103.0,1,17.0,16.826666666666668,0.17,5,0
2017-01-01,fa40cc5b934574b62717c68f3d678b6d,2016-10-10 00:01:50,50.0,1,1,1,24.84,50.0,1,25.0,24.84,0.17,46,0
2017-01-01,fa5fdc4e4bb6bd1009ad0e4ac4096562,2016-10-10 12:39:06,162.0,1,1,1,32.86,162.0,1,33.0,32.86,0.17,0,1
2017-01-01,fedaedd3ca31d56ab33e92035e4b361c,2016-10-06 20:06:26,40.0,1,1,1,10.96,40.0,1,11.0,10.96,0.17,0,1
2017-01-01,ffff564a4f9085cd26170f4732393726,2016-10-10 15:37:12,121.0,2,2,2,26.47,60.0,1,13.0,13.235,0.17,17,0
2017-02-01,004c9cd9d87a3c30c522c48c4fc07416,2017-01-31 16:13:48,720.0,6,6,6,110.43,120.0,1,18.0,18.405,0.17,28,0
2017-02-01,014c0679dd340a0e338872e7ec85666a,2017-01-26 00:20:22,110.0,1,1,1,18.2,110.0,1,18.0,18.2,0.17,2,0
2017-02-01,01cf7e3d21494c41fb86034f2e714fa1,2017-01-31 20:17:34,841.0,6,6,3,104.84,140.0,1,17.0,17.473333333333333,0.33,26,0
2017-02-01,054694fa03fe82cec4b7551487331d74,2017-01-26 23:33:35,2435.0,6,7,5,159.42,406.0,1,27.0,22.774285714285714,0.17,4,0
2017-02-01,05ff92fedb5be47920fea08e501238b9,2017-01-25 18:22:36,1427.0,4,5,5,112.20000000000002,357.0,1,28.0,22.440000000000005,0.33,13,0
2017-02-01,062ce95fa2ad4dfaedfc79260130565f,2017-01-31 17:11:49,126.0,2,3,1,56.36,63.0,1,28.0,18.786666666666665,0.17,22,0
2017-02-01,066a6914e1ebf3ea95a216c73a986b91,2017-01-31 20:04:08,765.0,5,7,5,116.95999999999998,153.0,1,23.0,16.708571428571425,0.33,22,0
2017-02-01,0725b8c0f3f906e58f70cbe76b7c748c,2017-01-21 17:17:20,720.0,2,9,1,119.2,358.0,4,60.0,13.244444444444445,0.17,5,0
2017-02-01,0747d5bb69f0586cc869d8af4c50f93e,2017-01-17 15:01:33,122.0,3,4,3,59.61,41.0,1,20.0,14.9025,0.33,8,0
2017-02-01,0adac9fbd9a2b63cccaac4f8756c1ca8,2017-01-22 20:25:54,33.0,1,1,1,10.96,33.0,1,11.0,10.96,0.17,18,0
2017-02-01,0b09101900100c0e9d312861fad5a1b9,2017-01-27 14:59:17,154.0,1,1,1,14.61,154.0,1,15.0,14.61,0.17,0,1
2017-02-01,0b36063d5818f81ccb94b54adfaebbf5,2017-01-30 21:44:49,765.0,1,15,1,17.999999999999996,765.0,15,18.0,1.1999999999999997,0.17,0,1
2017-02-01,0c8380b62e38e8a1e6adbeba7eb9688c,2017-01-26 22:28:07,1109.0,10,15,8,254.85,110.0,1,25.0,16.99,0.33,78,0
2017-02-01,0db783cfcd3b73998abc6e10e59a102f,2017-01-27 12:29:31,119.0,3,3,2,43.06,40.0,1,14.0,14.353333333333333,0.33,35,0
2017-02-01,0ea22c1cfbdc755f86b9b54b39c16043,2017-01-29 14:46:06,830.0,14,18,16,282.98,59.0,1,20.0,15.721111111111112,0.33,52,0
2017-02-01,0f519b0d2e5eb2227c93dd25038bfc01,2017-01-27 12:10:46,80.0,1,1,1,23.0,80.0,1,23.0,23.0,0.17,0,1
2017-02-01,1336efc61c316ddf92c899eb817f7cae,2017-01-23 20:45:59,191.0,2,2,2,37.41,96.0,1,19.0,18.705,0.17,6,0
2017-02-01,1554a68530182680ad5c8b042c3ab563,2017-01-31 13:41:56,1059.0,16,18,7,319.8,66.0,1,20.0,17.766666666666666,0.33,45,0
2017-02-01,16090f2ca825584b5a147ab24aa30c86,2017-01-31 17:40:36,50.0,1,1,1,14.52,50.0,1,15.0,14.52,0.17,14,0
2017-02-01,1771297ac436903d1dd6b0e9279aa505,2017-01-30 23:40:39,286.0,4,7,2,103.09,72.0,1,26.0,14.727142857142857,0.17,5,0
2017-02-01,198c7ea11960a9844b544d9bcdca860c,2017-01-26 13:14:02,140.0,1,1,1,16.09,140.0,1,16.0,16.09,0.17,8,0
2017-02-01,19e0f40a907ec568c34bfac15de4f4a1,2017-01-31 11:26:49,45.0,1,1,1,10.96,45.0,1,11.0,10.96,0.17,0,1
2017-02-01,1b8b75e227c9a9c100d0c210fb6176ce,2017-01-23 16:38:09,350.0,3,3,2,35.32,117.0,1,12.0,11.773333333333333,0.17,4,0
2017-02-01,1bb2bdb95f4841f1bba2c0d2cd83d3c9,2017-01-31 11:39:45,50.0,2,2,1,38.4,25.0,1,19.0,19.2,0.17,0,1
2017-02-01,1d0997ff06b524ce9289ffd75114ecd3,2017-01-27 16:21:48,1999.0,1,1,1,24.0,1999.0,1,24.0,24.0,0.17,1,0
2017-02-01,1f9ab4708f3056ede07124aad39a2554,2017-01-30 20:27:40,560.0,3,3,3,54.0,187.0,1,18.0,18.0,0.17,4,0
2017-02-01,2138ccb85b11a4ec1e37afbd1c8eda1f,2017-01-30 11:17:55,197.0,7,9,8,140.58999999999997,28.0,1,20.0,15.621111111111109,0.33,125,0
2017-02-01,218d46b86c1881d022bce9c68a7d4b15,2017-01-30 11:55:23,564.0,4,4,3,57.709999999999994,141.0,1,14.0,14.427499999999998,0.17,31,0
2017-02-01,2199e7fe213c16213bf5d6a7eadc9a5d,2017-01-28 20:09:18,189.0,1,1,1,18.0,189.0,1,18.0,18.0,0.17,6,0
2017-02-01,2493dc3f20131696a0ecdb9948051a8d,2017-01-28 14:49:09,412.0,3,3,2,54.34,137.0,1,18.0,18.113333333333333,0.17,1,0
2017-02-01,25e6ffe976bd75618accfe16cefcbd0d,2017-01-27 19:44:14,281.0,3,6,3,72.19,94.0,2,24.0,12.031666666666666,0.33,18,0
2017-02-01,2a1348e9addc1af5aaa619b1a3679d6b,2017-01-31 21:11:10,471.0,9,9,6,130.49,52.0,1,14.0,14.49888888888889,0.17,17,0
2017-02-01,2b1a40c1daabc6ca280c4b815c101841,2017-01-16 21:18:10,345.0,1,1,1,27.64,345.0,1,28.0,27.64,0.17,6,0
2017-02-01,2bd05d410a8fd26dc4184a15f4f2f588,2017-01-27 10:29:59,30.0,1,1,1,10.96,30.0,1,11.0,10.96,0.17,3,0
2017-02-01,2bdb95a56a36ebbc6640337ac5eac174,2017-01-27 22:07:02,90.0,1,1,1,18.0,90.0,1,18.0,18.0,0.17,0,1
2017-02-01,2be17df1c49978426251562096c3cc09,2017-01-25 06:31:50,309.0,2,2,2,36.78,154.0,1,18.0,18.39,0.17,4,0
2017-02-01,2f4b9d112bfa44a214bc6cef085d17c8,2017-01-27 09:29:40,57.0,2,3,1,56.660000000000004,28.0,1,28.0,18.886666666666667,0.33,3,0
2017-02-01,31344c16881c08a8a72c6d2eb29918c1,2017-01-30 14:51:21,420.0,2,2,2,39.92,210.0,1,20.0,19.96,0.17,4,0
2017-02-01,3340ef1913fb70d28420f6ceb685c339,2017-01-30 14:07:53,788.0,2,4,1,37.989999999999995,394.0,2,19.0,9.497499999999999,0.17,20,0
2017-02-01,3481aa57cd91f9f9d3fa1fa12d9a3bf7,2017-01-29 17:38:09,200.0,3,3,3,61.12,67.0,1,20.0,20.37333333333333,0.33,14,0
2017-02-01,38e679b9e0064cd94c6f035707344dae,2017-01-29 19:17:41,336.0,3,3,3,72.52,112.0,1,24.0,24.173333333333332,0.33,8,0
2017-02-01,392e0502231ae2f8b29994ef6398cd77,2017-01-09 21:40:42,110.0,1,1,1,20.85,110.0,1,21.0,20.85,0.17,13,0
